id,img_path,mask_path,label_raw,label_bin,frameID,primary_date,secondary_date,subset
16829,InSAR_img/16829.png,mask/16829.png,3,1,106A_09090_000404,20170705,20170810,train
11319_3,InSAR_img/11319_3.png,,0,0,014A_07688_131313,20180418,20180524,train
713,InSAR_img/713.png,mask/713.png,3,1,128D_09016_110500,20160605,20160711,train
12925,InSAR_img/12925.png,mask/12925.png,1,1,083D_12636_131313,20151217,20160322,train
9489_1,InSAR_img/9489_1.png,mask/9489_1.png,3,1,151D_SM_REUN_S4,20180404,20180510,train
7990_1,InSAR_img/7990_1.png,,0,0,142A_07606_131313,20190128,20190221,train
3831_121,InSAR_img/3831_121.png,,0,0,174A_09133_131313,20201208,20201214,train
16458_3,InSAR_img/16458_3.png,,0,0,109D_05390_141615,20170211,20170217,test
18405_5,InSAR_img/18405_5.png,,0,0,162A_06192_060402,20200926,20201002,train
3854_8,InSAR_img/3854_8.png,,0,0,174A_09133_131313,20210107,20210131,test
12860_3,InSAR_img/12860_3.png,,0,0,083D_12636_131313,20150103,20150127,train
1541_2,InSAR_img/1541_2.png,,0,0,124D_05291_081406,20180213,20180219,train
8443,InSAR_img/8443.png,mask/8443.png,5,1,032D_09854_070505,20180811,20180829,train
4_2,InSAR_img/4_2.png,,0,0,012D_07075_080504,20170318,20170417,test
13909_24,InSAR_img/13909_24.png,,0,0,146D_12613_231107,20200329,20210324,train
4631_26,InSAR_img/4631_26.png,,0,0,152D_09114_131313,20200604,20200722,train
8736,InSAR_img/8736.png,mask/8736.png,3,1,032D_09854_070505,20200226,20200321,train
1678_3,InSAR_img/1678_3.png,,0,0,124D_05291_081406,20180806,20181011,train
4550_68,InSAR_img/4550_68.png,,0,0,152D_09114_131313,20190728,20190914,train
13516_6,InSAR_img/13516_6.png,,0,0,083D_12636_131313,20200131,20200212,train
